קומות במבנה,שנת בנייה,תאריך עסקה,כתובת,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,"מ""ר",מחיר
2,1980,27/09/2000,אביגדור המאירי 8,10802-173-1,לא ידוע,5,קרקע,112,"1,168,000 ₪"
3,1960,16/07/2000,כל ישראל חברים 27,10803-18-50,לא ידוע,3,שניה,45,"491,000 ₪"
16,1980,13/07/2000,קאודרס 3,10804-74-92,לא ידוע,2,שלישית,65.87,"602,000 ₪"
16,1980,15/06/1998,קאודרס 3,10804-74-92,לא ידוע,2,שלישית,65.87,"553,000 ₪"
2,1975,28/06/2000,אביגדור המאירי 9,10802-113-8,לא ידוע,5,ראשונה,112,"1,023,000 ₪"
16,1980,07/06/2000,קאודרס 3,10804-74-37,לא ידוע,6,שמינית,139.68,"1,180,000 ₪"
7,1970,05/06/2000,טשרניחובסקי 61,10804-88-34,לא ידוע,4,חמישית,73.97,"594,000 ₪"
0,0,30/03/2000,סטפן וייז 39,10804-65-1,לא ידוע,4,לא ידוע,96,"1,362,000 ₪"
3,1960,28/03/2000,אמיל זולא 28,10803-22-29,לא ידוע,2,ראשונה,50,"467,000 ₪"
1,1960,08/03/2000,כל ישראל חברים 2,10803-63-2,לא ידוע,4,קרקע,121.46,"842,000 ₪"
4,1960,06/03/2000,אדמונד פלג 36,10804-4-26,לא ידוע,4,ראשונה,66.33,"660,000 ₪"
10,1980,15/02/2000,קאודרס 13,10804-53-17,לא ידוע,4,רביעית,111.22,"932,000 ₪"
4,1984,01/02/2000,בית לחם 95,10804-36-15,לא ידוע,4,רביעית,116.23,"1,055,000 ₪"
5,1970,31/01/2000,טשרניחובסקי 57,10804-87-12,לא ידוע,4,רביעית,67.1,"608,000 ₪"
7,1960,17/01/2000,אדמונד פלג 14,10804-97-21,לא ידוע,3,שניה,74.17,"489,000 ₪"
